-182.270, 77.573, 2.278,  1.765
-182.249, 77.500, 2.268,  1.798
-182.227, 77.427, 2.277,  1.831
-182.206, 77.353, 2.305,  1.864
-182.186, 77.278, 2.305,  1.897
-182.166, 77.204, 2.297,  1.930
-182.147, 77.129, 2.292,  1.963
-182.129, 77.055, 2.289,  1.996
-182.110, 76.980, 2.300,  2.029
-182.093, 76.904, 2.321,  2.062
-182.075, 76.829, 2.309,  2.095
-182.059, 76.754, 2.287,  2.128
-182.043, 76.679, 2.270,  2.161
-182.027, 76.605, 2.264,  2.194
-182.011, 76.531, 2.280,  2.227
-181.996, 76.455, 2.318,  2.260
-181.981, 76.378, 2.330,  2.293
-181.966, 76.301, 2.325,  2.326
-181.952, 76.225, 2.306,  2.359
-181.939, 76.149, 2.283,  2.392
-181.926, 76.075, 2.271,  2.425
-181.913, 76.000, 2.277,  2.458
-181.900, 75.924, 2.296,  2.491
-181.888, 75.847, 2.319,  2.524
-181.875, 75.770, 2.325,  2.557
-181.864, 75.694, 2.318,  2.590
-181.852, 75.617, 2.309,  2.623
-181.841, 75.541, 2.307,  2.656
-181.830, 75.464, 2.313,  2.689
-181.819, 75.387, 2.330,  2.722
-181.809, 75.309, 2.341,  2.755
-181.799, 75.232, 2.336,  2.788
-181.789, 75.155, 2.321,  2.821
-181.779, 75.078, 2.312,  2.854
-181.770, 75.001, 2.317,  2.887
-181.760, 74.924, 2.339,  2.920
-181.751, 74.845, 2.365,  2.953
-181.742, 74.767, 2.353,  2.986
-181.734, 74.690, 2.330,  3.019
-181.725, 74.613, 2.311,  3.052
-181.717, 74.536, 2.304,  3.085
-181.709, 74.459, 2.320,  3.118
-181.701, 74.381, 2.360,  3.151
-181.694, 74.302, 2.379,  3.184
-181.686, 74.223, 2.388,  3.217
-181.679, 74.143, 2.385,  3.250
-181.672, 74.064, 2.372,  3.283
-181.665, 73.986, 2.364,  3.316
-181.658, 73.907, 2.367,  3.349
-181.651, 73.828, 2.387,  3.382
-181.645, 73.748, 2.414,  3.415
-181.638, 73.667, 2.402,  3.448
